,Município,Total Investido,IDEB - 4 e 5,IDEB - 8 e 9
72,DESTERRO,4849314.97,4.5,3.1
73,SANTA CRUZ,3613897.2699999996,6.2,3.6
74,CASSERENGUE,6995828.079999996,4.9,3.5
75,BOA VENTURA,4070162.2999999993,4.1,3.7
76,CONGO,4336217.210000002,5.3,5.1
77,SANTANA DOS GARROTES,4653068.659999998,4.1,3.8
78,MALTA,4929860.4399999995,5.1,5
79,RIACHAO DO BACAMARTE,4353053.87,4.2,3.4
80,CABACEIRAS,4462589.419999996,6.4,5.5
81,SERTAOZINHO,4677097.060000003,4.5,3.9
82,SERRA BRANCA,6369147.369999998,4.5,3.4
83,CAMALAU,6103406.840000005,4.9,4.4
84,ALCANTIL,4755114.3100000005,5,4
85,LIVRAMENTO,7169803.580000007,5.3,4.4
86,TRIUNFO,5294108.350000001,4.5,3.6
87,SAO JOAO DO CARIRI,3166976.19,3.9,4.1
88,AGUIAR,4500515.419999997,4.8,4
89,SANTA CECILIA,7249472.13,4.3,2.8
90,NAZAREZINHO,5378986.780000001,4.6,2.7
91,DAMIAO,5254341.289999998,4.3,3.2
92,PILOES,6301408.310000003,4.5,2.5
93,BOA VISTA,7071279.55,5.9,4.1
94,JOCA CLAUDINO,4052629.7100000004,5.5,3.6
95,SAO JOAO DO TIGRE,4769490.63,4.5,4.4
96,JUAREZ TAVORA,6480497.430000002,4.2,2.6
97,SAO FRANCISCO,3215559.7899999996,6,4.5
98,BONITO DE SANTA FE,6977210.549999996,3.8,3.5
99,JERICO,4735741.959999996,4,3.5
100,DIAMANTE,4428717.749999999,3.8,3.9
101,RIACHAO DO POÇO,2842634.2099999986,,
102,PIRPIRITUBA,5213828.459999995,4.2,3.4
103,SAO JOSE DA LAGOA TAPADA,5651203.620000001,4.8,3.9
104,CALDAS BRANDAO,4911862.739999997,3.4,3.5
105,JURIPIRANGA,7142526.61,4.5,4.1
106,PUXINANA,8318293.050000005,4.2,**
107,MONTE HOREBE,4611649.43,5,3.9
108,BARRA DE SANTANA,8082492.28,5.4,3.3
109,IMACULADA,9085487.729999995,3.9,3.4
110,MANAIRA,8872002.880000006,4.9,3.8
111,CACIMBAS,8561137.500000004,3.7,3.2
112,CAIÇARA,3133207.43,,
113,AREIAL,6691295.899999996,5.3,3.1
114,CUITE DE MAMANGUAPE,7799704.700000005,3.8,2.5
115,MULUNGU,5560855.339999999,3.9,3.6
116,CACHOEIRA DOS INDIOS,6566184.320000002,3.5,3.1
117,SOLEDADE,8507166.96,3.9,3.5
118,TAPEROA,8212303.769999993,4.3,3.5
119,CATINGUEIRA,4520255.630000001,4.3,3.3
120,NOVA OLINDA,4997920.670000004,3.9,3.2
121,NOVA FLORESTA,5615051.199999999,4.4,3.4
122,POÇO DANTAS,4022019.090000001,,
