,Município,Total Investido,IDEB - 4 e 5,IDEB - 8 e 9,Matriculas,Investimento por matricula
0,APARECIDA,5220672.840000002,4.4,4,861,6063.499233449479
0,BERNARDINO BATISTA,6574436.950000002,5.3,3.9,628,10468.848646496821
0,JOCA CLAUDINO,4052629.71,5.5,3.6,374,10835.90831550802
0,LASTRO,3339843.6100000017,4.2,3.7,477,7001.768574423484
0,MARIZOPOLIS,7735802.979999999,4.1,3.7,818,9456.971858190707
0,NAZAREZINHO,5378986.780000001,4.6,2.7,747,7200.785515394915
0,POCO DANTAS,3006126.7600000007,4.4,3.5,792,3795.614595959597
0,SANTA CRUZ,3613897.27,6.2,3.6,469,7705.5378891258
0,SAO FRANCISCO,3215559.79,6,4.5,437,7358.260389016018
0,SAO JOSE DA LAGOA TAPADA,5651203.620000001,4.8,3.9,923,6122.64747562297
0,SOUSA,24581998.81,5.1,4.1,3592,6843.540871380846
0,UIRAUNA,8040128.600000002,4.2,3.2,913,8806.274479737134
0,VIEIROPOLIS,3220220.259999998,5.6,5,511,6301.800900195691
0,BOM JESUS,3425908.47,4.2,4,493,6949.104401622719
0,BONITO DE SANTA FE,6977210.549999996,3.8,3.5,1166,5983.885548885074
0,CACHOEIRA DOS INDIOS,6566184.320000002,3.5,3.1,1032,6362.581705426359
0,CAJAZEIRAS,27031263.379999995,4.6,4,3789,7134.141826339402
0,CARRAPATEIRA,2764953.9699999983,5.5,4.4,370,7472.848567567564
0,MONTE HOREBE,4611649.43,5,3.9,645,7149.8440775193785
0,POCO DE JOSE DE MOURA,3021089.6199999987,4.7,4.4,583,5181.971903945109
0,SANTA HELENA,5767424.869999999,6,4.9,610,9454.79486885246
0,SAO JOSE DE PIRANHAS,11187413.979999993,5.7,4.1,1515,7384.431669966993
0,SAO JOAO DO RIO DO PEIXE,14514875.479999993,4,2.9,1177,12332.094715378074
0,SERRA GRANDE,2910126.9000000013,6,5,495,5879.044242424246
0,TRIUNFO,5294108.3500000015,4.5,3.6,913,5798.585268346114
