,Município,Total Investido,IDEB - 4 e 5,IDEB - 8 e 9,Matriculas,Investimento por matricula
0,ALHANDRA,16941425.89,3.6,2.6,2290,7398.002572052403
0,BAYEUX,50070015.38,4.4,3.5,6419,7800.282813522356
0,CAAPORA,20215647.179999985,3.8,3.4,3259,6203.021534212944
0,CABEDELO,31578958.750000004,4.9,4.1,4254,7423.3565467795015
0,CALDAS BRANDAO,4911862.7399999965,3.4,3.5,556,8834.285503597115
0,CONDE,26894754.93,4.2,2.6,4022,6686.9107235206375
0,CRUZ DO ESPIRITO SANTO,12970332.099999996,3.4,*,1889,6866.242509264159
0,CUITE DE MAMANGUAPE,7799704.700000005,3.8,2.5,1012,7707.218083003958
0,GURINHEM,12193364.26,3,2.6,1655,7367.5916978851965
0,JOAO PESSOA,357303585.1600004,4.9,4,37950,9415.114233465096
0,JUAREZ TAVORA,6480497.4300000025,4.2,2.6,1044,6207.373017241382
0,JURIPIRANGA,7142526.61,4.5,4.1,1117,6394.383715308863
0,LUCENA,12333494.99,4.2,3,1894,6511.876974656811
0,MARI,12853863.1,4.1,3,1729,7434.275939849624
0,PEDRAS DE FOGO,29088627.09,4.8,4,3797,7660.9499841980505
0,PILAR,9670617.459999997,3.5,3,893,10829.358857782752
0,PITIMBU,15068617.720000004,4.1,**,2007,7508.030752366719
0,RIACHAO DO POCO,2836806.950000001,4.9,3.6,746,3802.6902815013423
0,SANTA RITA,70673045.11000001,3.8,3,8885,7954.1975362971325
0,SAO MIGUEL DE TAIPU,5957944.159999997,3.5,2.9,733,8128.163929058658
0,SAPE,29093348.41000001,4.5,3.6,3903,7454.0990033307735
0,SOBRADO,8057379.280000002,5.2,3.6,1184,6805.2189864864895
0,ALAGOINHA,10639494.479999997,3.8,3.6,1769,6014.411803278686
0,ARACAGI,5322466.54,3.8,2.9,1620,3285.4731728395063
0,ARARA,8181901.109999993,4.3,2.9,1421,5757.847368050663
0,ARARUNA,14636310.900000013,4.3,2.8,2277,6427.892358366277
0,BANANEIRAS,18331982.119999986,4.7,2.8,2600,7050.7623538461485
0,BELEM,9294224.020000003,4.7,4,1101,8441.620363306089
0,BORBOREMA,4378296.399999999,3.7,3.1,690,6345.357101449274
0,CACIMBA DE DENTRO,12949052.879999995,4.8,3.7,2013,6432.71380029806
0,CAICARA,2561529.879999999,4.3,3.5,753,3401.766108897741
0,CASSERENGUE,6995828.079999996,4.9,3.5,1180,5928.667864406777
0,CUITEGI,6666818.459999999,3.7,3.1,784,8503.594974489795
0,DONA INES,10670035.7,5.6,4.8,1537,6942.118217306441
0,DUAS ESTRADAS,4234929.4,4.1,4.1,418,10131.410047846892
0,GUARABIRA,29265538.27,4.6,3.4,3861,7579.781991711991
0,LAGOA DE DENTRO,11873927.160000006,4.6,3.2,1026,11573.028421052637
0,LOGRADOURO,4313083.570000001,4.6,4.3,523,8246.813709369027
0,MULUNGU,5560855.339999999,3.9,3.6,738,7535.034336043359
0,PILOES,6301408.310000002,4.5,2.5,1007,6257.605074478653
0,PILOEZINHOS,3893849.09,3.9,2.6,613,6352.119233278955
0,PIRPIRITUBA,5213828.459999995,4.2,3.4,642,8121.228130841115
0,RIACHAO,3827799.8899999983,4.9,4,508,7535.039153543305
0,SERRA DA RAIZ,3821938.54,4.1,3.7,249,15349.150763052206
0,SERRARIA,2910206.39,4,**,444,6554.5188963963965
0,SERTAOZINHO,4677097.060000003,4.5,3.9,562,8322.236761565842
0,SOLANEA,15135189.539999995,4.6,2.8,2477,6110.290488494145
0,TACIMA,8287252.399999998,4.6,4.1,984,8422.004471544713
0,BAIA DA TRAICAO,4410851.260000002,3.8,3.3,1286,3429.899891135305
0,CAPIM,6986820.379999996,3.5,4.3,1024,6823.066777343746
0,CURRAL DE CIMA,4809114.44,4.1,*,841,5718.3287039239
0,ITAPOROROCA,12475073.130000005,4.1,2.4,1833,6805.8227659574495
0,JACARAU,14498367.06,4.4,3.4,1968,7367.05643292683
0,MAMANGUAPE,24843336.59999998,3.6,2.8,4112,6041.667461089489
0,MARCACAO,4078995.22,2.8,2.9,1048,3892.1710114503817
0,MATARACA,7698088.220000002,3.7,2.4,1237,6223.19177041229
0,PEDRO REGIS,4810417.120000003,3.9,3.1,726,6625.918898071628
0,RIO TINTO,17850491.28999999,3.9,3.5,2327,7671.0319252256095
0,ITABAIANA,7006173.4700000025,3.7,2,923,7590.65381365114
0,MOGEIRO,11367644.699999996,4.3,3.2,1695,6706.575044247785
0,NATUBA,10595059.830000004,4.4,3.1,1105,9588.289438914033
0,SALGADO DE SAO FELIX,11637009.850000005,*,4.1,1136,10243.846698943667
0,SAO JOSE DOS RAMOS,6432905.539999997,3.6,2.6,796,8081.539623115575
